Country Name,Country Code,Series Name,Series Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.70565205,12.52709517,11.32028336,14.43668575,17.92487838,16.60541444,18.06670917,16.24801444,12.74924578
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,11.78057404,13.56679268,13.96931778,16.32585021,14.70573667,13.59828437,15.0119804,15.29969356,13.89126635
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.199999999,5.800000001,12.6,8.3
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583,13878908629,19513506553,24085749592
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3512.393503,3524.424769,3869.053739,4196.005623,4597.228874,4268.680933,4685.179971,6571.974455,8053.010663
Armenia,ARM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13112.76009,13192.99407,14243.8749,15037.04524,16215.3608,15052.93598,15921.70528,17886.17839,19230.18993
Armenia,ARM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.80591011,2.75812006,2.707590103,2.255867958,2.571912289,2.705559969,2.767849922,2.491899967,0.242599994
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,100,100,..,..,100,..,..,..
Armenia,ARM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,100,100,..,..,100,..,..,..
Armenia,ARM,"School enrollment, primary (% gross)",SE.PRM.ENRR,102.3826904,103.0617065,101.619812,100.0613098,97.32314301,96.62056732,93.80999756,92.9023819,93.80795288
Armenia,ARM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,85.79370117,..,..,88.5765686,93.61714935,94.89111328,97.30155945,96.86456299,95.12464905
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.87073171,74.86829268,75.21707317,75.6195122,76.22195122,73.37560976,72.27804878,74.76585366,77.46585366
Armenia,ARM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,14.6,14,13.3,12.7,12.1,11.6,11,10.5,10
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.11762714,9.95194912,10.36270332,10.00543404,11.3798008,12.24056244,12.32268524,9.96212864,..
Armenia,ARM,"Population, total",SP.POP.TOTL,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2990900
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.085,63.082,63.103,63.149,63.219,63.313,63.431,63.573,63.739
Armenia,ARM,Population growth (annual %),SP.POP.GROW,-0.305729336,-0.410212518,-0.43203845,-0.349674218,-0.219168932,-0.033760973,0.02700969,0.232656263,0.728178919
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,99.8,99.7,99.9,100,100,100,100,100
Armenia,ARM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.72539121,33.74427986,38.21604566,39.39289403,41.35080136,29.76498692,35.90643999,50.22498046,59.45208567
